"STATENAME","Adjusted","year","home_value"
"United States","dollars_2000",2000,119600
"Alabama","dollars_2000",2000,85100
"Alaska","dollars_2000",2000,144200
"Arizona","dollars_2000",2000,121300
"Arkansas","dollars_2000",2000,72800
"California","dollars_2000",2000,211500
"Colorado","dollars_2000",2000,166600
"Connecticut","dollars_2000",2000,166900
"Delaware","dollars_2000",2000,130400
"District of Columbia","dollars_2000",2000,157200
"Florida","dollars_2000",2000,105500
"Georgia","dollars_2000",2000,111200
"Hawaii","dollars_2000",2000,272700
"Idaho","dollars_2000",2000,106300
"Illinois","dollars_2000",2000,130800
"Indiana","dollars_2000",2000,94300
"Iowa","dollars_2000",2000,82500
"Kansas","dollars_2000",2000,83500
"Kentucky","dollars_2000",2000,86700
"Louisiana","dollars_2000",2000,85000
"Maine","dollars_2000",2000,98700
"Maryland","dollars_2000",2000,146000
"Massachusetts","dollars_2000",2000,185700
"Michigan","dollars_2000",2000,115600
"Minnesota","dollars_2000",2000,122400
"Mississippi","dollars_2000",2000,71400
"Missouri","dollars_2000",2000,89900
"Montana","dollars_2000",2000,99500
"Nebraska","dollars_2000",2000,88000
"Nevada","dollars_2000",2000,142000
"New Hampshire","dollars_2000",2000,133300
"New Jersey","dollars_2000",2000,170800
"New Mexico","dollars_2000",2000,108100
"New York","dollars_2000",2000,148700
"North Carolina","dollars_2000",2000,108300
"North Dakota","dollars_2000",2000,74400
"Ohio","dollars_2000",2000,103700
"Oklahoma","dollars_2000",2000,70700
"Oregon","dollars_2000",2000,152100
"Pennsylvania","dollars_2000",2000,97000
"Rhode Island","dollars_2000",2000,133000
"South Carolina","dollars_2000",2000,94900
"South Dakota","dollars_2000",2000,79600
"Tennessee","dollars_2000",2000,93000
"Texas","dollars_2000",2000,82500
"Utah","dollars_2000",2000,146100
"Vermont","dollars_2000",2000,111500
"Virginia","dollars_2000",2000,125400
"Washington","dollars_2000",2000,168300
"West Virginia","dollars_2000",2000,72800
"Wisconsin","dollars_2000",2000,112200
"Wyoming","dollars_2000",2000,96600
"United States","current",2000,119600
"Alabama","current",2000,85100
"Alaska","current",2000,144200
"Arizona","current",2000,121300
"Arkansas","current",2000,72800
"California","current",2000,211500
"Colorado","current",2000,166600
"Connecticut","current",2000,166900
"Delaware","current",2000,130400
"District of Columbia","current",2000,157200
"Florida","current",2000,105500
"Georgia","current",2000,111200
"Hawaii","current",2000,272700
"Idaho","current",2000,106300
"Illinois","current",2000,130800
"Indiana","current",2000,94300
"Iowa","current",2000,82500
"Kansas","current",2000,83500
"Kentucky","current",2000,86700
"Louisiana","current",2000,85000
"Maine","current",2000,98700
"Maryland","current",2000,146000
"Massachusetts","current",2000,185700
"Michigan","current",2000,115600
"Minnesota","current",2000,122400
"Mississippi","current",2000,71400
"Missouri","current",2000,89900
"Montana","current",2000,99500
"Nebraska","current",2000,88000
"Nevada","current",2000,142000
"New Hampshire","current",2000,133300
"New Jersey","current",2000,170800
"New Mexico","current",2000,108100
"New York","current",2000,148700
"North Carolina","current",2000,108300
"North Dakota","current",2000,74400
"Ohio","current",2000,103700
"Oklahoma","current",2000,70700
"Oregon","current",2000,152100
"Pennsylvania","current",2000,97000
"Rhode Island","current",2000,133000
"South Carolina","current",2000,94900
"South Dakota","current",2000,79600
"Tennessee","current",2000,93000
"Texas","current",2000,82500
"Utah","current",2000,146100
"Vermont","current",2000,111500
"Virginia","current",2000,125400
"Washington","current",2000,168300
"West Virginia","current",2000,72800
"Wisconsin","current",2000,112200
"Wyoming","current",2000,96600
"United States","dollars_2000",1990,101100
"Alabama","dollars_2000",1990,68600
"Alaska","dollars_2000",1990,120600
"Arizona","dollars_2000",1990,102300
"Arkansas","dollars_2000",1990,59200
"California","dollars_2000",1990,249800
"Colorado","dollars_2000",1990,105700
"Connecticut","dollars_2000",1990,227200
"Delaware","dollars_2000",1990,127900
"District of Columbia","dollars_2000",1990,158300
"Florida","dollars_2000",1990,98500
"Georgia","dollars_2000",1990,91100
"Hawaii","dollars_2000",1990,313400
"Idaho","dollars_2000",1990,74400
"Illinois","dollars_2000",1990,103400
"Indiana","dollars_2000",1990,68900
"Iowa","dollars_2000",1990,58600
"Kansas","dollars_2000",1990,66700
"Kentucky","dollars_2000",1990,64500
"Louisiana","dollars_2000",1990,74700
"Maine","dollars_2000",1990,111700
"Maryland","dollars_2000",1990,148800
"Massachusetts","dollars_2000",1990,208000
"Michigan","dollars_2000",1990,77400
"Minnesota","dollars_2000",1990,94500
"Mississippi","dollars_2000",1990,58300
"Missouri","dollars_2000",1990,76400
"Montana","dollars_2000",1990,72300
"Nebraska","dollars_2000",1990,64400
"Nevada","dollars_2000",1990,122300
"New Hampshire","dollars_2000",1990,165300
"New Jersey","dollars_2000",1990,207400
"New Mexico","dollars_2000",1990,89600
"New York","dollars_2000",1990,168100
"North Carolina","dollars_2000",1990,84100
"North Dakota","dollars_2000",1990,64900
"Ohio","dollars_2000",1990,81100
"Oklahoma","dollars_2000",1990,61500
"Oregon","dollars_2000",1990,85700
"Pennsylvania","dollars_2000",1990,89100
"Rhode Island","dollars_2000",1990,170600
"South Carolina","dollars_2000",1990,78100
"South Dakota","dollars_2000",1990,57700
"Tennessee","dollars_2000",1990,74600
"Texas","dollars_2000",1990,76100
"Utah","dollars_2000",1990,88000
"Vermont","dollars_2000",1990,122000
"Virginia","dollars_2000",1990,116300
"Washington","dollars_2000",1990,119300
"West Virginia","dollars_2000",1990,61200
"Wisconsin","dollars_2000",1990,79900
"Wyoming","dollars_2000",1990,78700
"United States","current",1990,79100
"Alabama","current",1990,53700
"Alaska","current",1990,94400
"Arizona","current",1990,80100
"Arkansas","current",1990,46300
"California","current",1990,195500
"Colorado","current",1990,82700
"Connecticut","current",1990,177800
"Delaware","current",1990,100100
"District of Columbia","current",1990,123900
"Florida","current",1990,77100
"Georgia","current",1990,71300
"Hawaii","current",1990,245300
"Idaho","current",1990,58200
"Illinois","current",1990,80900
"Indiana","current",1990,53900
"Iowa","current",1990,45900
"Kansas","current",1990,52200
"Kentucky","current",1990,50500
"Louisiana","current",1990,58500
"Maine","current",1990,87400
"Maryland","current",1990,116500
"Massachusetts","current",1990,162800
"Michigan","current",1990,60600
"Minnesota","current",1990,74000
"Mississippi","current",1990,45600
"Missouri","current",1990,59800
"Montana","current",1990,56600
"Nebraska","current",1990,50400
"Nevada","current",1990,95700
"New Hampshire","current",1990,129400
"New Jersey","current",1990,162300
"New Mexico","current",1990,70100
"New York","current",1990,131600
"North Carolina","current",1990,65800
"North Dakota","current",1990,50800
"Ohio","current",1990,63500
"Oklahoma","current",1990,48100
"Oregon","current",1990,67100
"Pennsylvania","current",1990,69700
"Rhode Island","current",1990,133500
"South Carolina","current",1990,61100
"South Dakota","current",1990,45200
"Tennessee","current",1990,58400
"Texas","current",1990,59600
"Utah","current",1990,68900
"Vermont","current",1990,95500
"Virginia","current",1990,91000
"Washington","current",1990,93400
"West Virginia","current",1990,47900
"Wisconsin","current",1990,62500
"Wyoming","current",1990,61600
"United States","dollars_2000",1980,93400
"Alabama","dollars_2000",1980,67100
"Alaska","dollars_2000",1980,151000
"Arizona","dollars_2000",1980,108500
"Arkansas","dollars_2000",1980,61600
"California","dollars_2000",1980,167300
"Colorado","dollars_2000",1980,126900
"Connecticut","dollars_2000",1980,129900
"Delaware","dollars_2000",1980,87900
"District of Columbia","dollars_2000",1980,136200
"Florida","dollars_2000",1980,89300
"Georgia","dollars_2000",1980,73000
"Hawaii","dollars_2000",1980,233800
"Idaho","dollars_2000",1980,90300
"Illinois","dollars_2000",1980,104500
"Indiana","dollars_2000",1980,73600
"Iowa","dollars_2000",1980,80400
"Kansas","dollars_2000",1980,74800
"Kentucky","dollars_2000",1980,67700
"Louisiana","dollars_2000",1980,85100
"Maine","dollars_2000",1980,75000
"Maryland","dollars_2000",1980,115400
"Massachusetts","dollars_2000",1980,95800
"Michigan","dollars_2000",1980,77200
"Minnesota","dollars_2000",1980,105100
"Mississippi","dollars_2000",1980,62200
"Missouri","dollars_2000",1980,72600
"Montana","dollars_2000",1980,92000
"Nebraska","dollars_2000",1980,75200
"Nevada","dollars_2000",1980,136000
"New Hampshire","dollars_2000",1980,95000
"New Jersey","dollars_2000",1980,119200
"New Mexico","dollars_2000",1980,89700
"New York","dollars_2000",1980,90300
"North Carolina","dollars_2000",1980,71300
"North Dakota","dollars_2000",1980,86900
"Ohio","dollars_2000",1980,88900
"Oklahoma","dollars_2000",1980,70500
"Oregon","dollars_2000",1980,112600
"Pennsylvania","dollars_2000",1980,77400
"Rhode Island","dollars_2000",1980,92600
"South Carolina","dollars_2000",1980,69500
"South Dakota","dollars_2000",1980,72400
"Tennessee","dollars_2000",1980,70500
"Texas","dollars_2000",1980,77400
"Utah","dollars_2000",1980,113400
"Vermont","dollars_2000",1980,83500
"Virginia","dollars_2000",1980,95000
"Washington","dollars_2000",1980,118600
"West Virginia","dollars_2000",1980,76200
"Wisconsin","dollars_2000",1980,96200
"Wyoming","dollars_2000",1980,118400
"United States","current",1980,47200
"Alabama","current",1980,33900
"Alaska","current",1980,76300
"Arizona","current",1980,54800
"Arkansas","current",1980,31100
"California","current",1980,84500
"Colorado","current",1980,64100
"Connecticut","current",1980,65600
"Delaware","current",1980,44400
"District of Columbia","current",1980,68800
"Florida","current",1980,45100
"Georgia","current",1980,36900
"Hawaii","current",1980,118100
"Idaho","current",1980,45600
"Illinois","current",1980,52800
"Indiana","current",1980,37200
"Iowa","current",1980,40600
"Kansas","current",1980,37800
"Kentucky","current",1980,34200
"Louisiana","current",1980,43000
"Maine","current",1980,37900
"Maryland","current",1980,58300
"Massachusetts","current",1980,48400
"Michigan","current",1980,39000
"Minnesota","current",1980,53100
"Mississippi","current",1980,31400
"Missouri","current",1980,36700
