"year","hu_est","STATENAME"
2000,1969913,"Alabama"
2000,261959,"Alaska"
2000,2205828,"Arizona"
2000,1176678,"Arkansas"
2000,12250974,"California"
2000,1822421,"Colorado"
2000,1388673,"Connecticut"
2000,344444,"Delaware"
2000,275210,"District of Columbia"
2000,7342168,"Florida"
2000,3306181,"Georgia"
2000,461646,"Hawaii"
2000,530912,"Idaho"
2000,4897503,"Illinois"
2000,2542003,"Indiana"
2000,1234446,"Iowa"
2000,1134529,"Kansas"
2000,1757217,"Kentucky"
2000,1850941,"Louisiana"
2000,653650,"Maine"
2000,2152432,"Maryland"
2000,2626742,"Massachusetts"
2000,4246831,"Michigan"
2000,2074198,"Minnesota"
2000,1166272,"Mississippi"
2000,2450347,"Missouri"
2000,414158,"Montana"
2000,724907,"Nebraska"
2000,835897,"Nevada"
2000,548865,"New Hampshire"
2000,3318457,"New Jersey"
2000,783886,"New Mexico"
2000,7691095,"New York"
2000,3544668,"North Carolina"
2000,290234,"North Dakota"
2000,4796195,"Ohio"
2000,1518145,"Oklahoma"
2000,1458189,"Oregon"
2000,5258752,"Pennsylvania"
2000,440497,"Rhode Island"
2000,1763776,"South Carolina"
2000,324159,"South Dakota"
2000,2450219,"Tennessee"
2000,8202111,"Texas"
2000,773089,"Utah"
2000,295064,"Vermont"
2000,2916785,"Virginia"
2000,2461846,"Washington"
2000,845868,"West Virginia"
2000,2328870,"Wisconsin"
2000,224510,"Wyoming"
2001,1997451,"Alabama"
2001,265946,"Alaska"
2001,2269177,"Arizona"
2001,1191603,"Arkansas"
2001,12400531,"California"
2001,1880551,"Colorado"
2001,1399225,"Connecticut"
2001,349967,"Delaware"
2001,276608,"District of Columbia"
2001,7502520,"Florida"
2001,3405308,"Georgia"
2001,466175,"Hawaii"
2001,543573,"Idaho"
2001,4942939,"Illinois"
2001,2580288,"Indiana"
2001,1244730,"Iowa"
2001,1146858,"Kansas"
2001,1781869,"Kentucky"
2001,1867317,"Louisiana"
2001,661053,"Maine"
2001,2180744,"Maryland"
2001,2646017,"Massachusetts"
2001,4295961,"Michigan"
