"year","totalAssets_current"
1925,297.5
1926,307.6
1927,315.5
1928,328.2
1929,333.6
1930,318.6
1931,277.7
1932,250.8
1933,264.1
1934,273.8
1935,275
1936,304.4
1937,320.7
1938,323.3
1939,329.7
1940,355
1941,405.4
1942,469.9
1943,528.3
1944,566.1
1945,608.9
1946,701.5
1947,807.6
1948,863.1
1949,876.8
1950,979.6
1951,1077.4
1952,1140
1953,1186.5
1954,1238.7
1955,1345.3
1956,1460.7
1957,1538
1958,1587.7
1959,1651.4
1960,1706
1961,1768.6
1962,1847.5
1963,1922.4
1964,2045.1
1965,2182.2
1966,2369.4
1967,2557.3
1968,2813.4
1969,3073.9
1970,3345.2
1971,3672.5
1972,4031.3
1973,4564.8
1974,5413.5
1975,5855.1
1976,6382.9
1977,7120.5
1978,8056.2
1979,9256.4
1980,10503.7
1981,11551.4
1982,12186.2
1983,12643.9
1984,13409.7
1985,14135.9
1986,15070.3
1987,15995.2
1988,17053.4
1989,18046.4
1990,18924.6
1991,19422.4
1992,20227.4
1993,21239.6
1994,22491
1995,23571.3
1996,24674.6
1997,25937.1
1998,27359.2
1999,29092.1
2000,31025.3
2001,32740.8
2002,34331.6
2003,36145.9
2004,39685.8
2005,43481.1
2006,46894.5
2007,48983.4
2008,50584.6
2009,49751.4
2010,50634.9
2011,52335
2012,53943.4
2013,56422.4
2014,58830.2
2015,60085
2016,62400.4
2017,64874.4
